,optimizer,initializer,regularization,activation_function,best_valid_acc,last_valid_acc,last_train_acc,model,dropout
156,adamW,GlorotNormal,l2,tanh,0.8928333520889282,0.890500009059906,0.9303703904151917,vanilla_NN,0
157,adamW,GlorotNormal,l2,tanh,0.8898333311080933,0.8863333463668823,0.8893148303031921,vanilla_NN,0.3
158,adamW,GlorotNormal,l2,tanh,0.8790000081062317,0.8790000081062317,0.8661481738090515,vanilla_NN,0.5
159,adamW,GlorotNormal,l2,sigmoid,0.9001666903495789,0.8898333311080933,0.9629444479942322,vanilla_NN,0
160,adamW,GlorotNormal,l2,sigmoid,0.9013333320617676,0.8934999704360962,0.9205740690231323,vanilla_NN,0.3
161,adamW,GlorotNormal,l2,sigmoid,0.8956666588783264,0.8931666612625122,0.8956296443939209,vanilla_NN,0.5
162,adamW,HeNormal,,relu,0.8993333578109741,0.8916666507720947,0.9453518390655518,vanilla_NN,0
163,adamW,HeNormal,,relu,0.8943333625793457,0.8859999775886536,0.8979259133338928,vanilla_NN,0.3
164,adamW,HeNormal,,relu,0.8841666579246521,0.8713333606719971,0.8682407140731812,vanilla_NN,0.5
165,adamW,HeNormal,,tanh,0.8853333592414856,0.8794999718666077,0.9054259061813354,vanilla_NN,0
166,adamW,HeNormal,,tanh,0.8805000185966492,0.8711666464805603,0.8762962818145752,vanilla_NN,0.3
167,adamW,HeNormal,,tanh,0.8736666440963745,0.8721666932106018,0.8513333201408386,vanilla_NN,0.5
168,adamW,HeNormal,,sigmoid,0.8985000252723694,0.8916666507720947,0.9578889012336731,vanilla_NN,0
169,adamW,HeNormal,,sigmoid,0.9013333320617676,0.8991666436195374,0.9166111350059509,vanilla_NN,0.3
170,adamW,HeNormal,,sigmoid,0.8971666693687439,0.8931666612625122,0.8946666717529297,vanilla_NN,0.5
171,adamW,HeNormal,l1,relu,0.8966666460037231,0.8901666402816772,0.944351851940155,vanilla_NN,0
172,adamW,HeNormal,l1,relu,0.8930000066757202,0.8865000009536743,0.8986296057701111,vanilla_NN,0.3
173,adamW,HeNormal,l1,relu,0.8823333382606506,0.8823333382606506,0.8694629669189453,vanilla_NN,0.5
174,adamW,HeNormal,l1,tanh,0.8841666579246521,0.8734999895095825,0.9026851654052734,vanilla_NN,0
175,adamW,HeNormal,l1,tanh,0.8820000290870667,0.874833345413208,0.8737592697143555,vanilla_NN,0.3
176,adamW,HeNormal,l1,tanh,0.875166654586792,0.8733333349227905,0.8518148064613342,vanilla_NN,0.5
177,adamW,HeNormal,l1,sigmoid,0.8951666951179504,0.8949999809265137,0.9552407264709473,vanilla_NN,0
178,adamW,HeNormal,l1,sigmoid,0.9028333425521851,0.8964999914169312,0.9182778000831604,vanilla_NN,0.3
179,adamW,HeNormal,l1,sigmoid,0.8966666460037231,0.893666684627533,0.8946666717529297,vanilla_NN,0.5
180,adamW,HeNormal,l2,relu,0.8955000042915344,0.8955000042915344,0.9453703761100769,vanilla_NN,0
181,adamW,HeNormal,l2,relu,0.8964999914169312,0.890500009059906,0.8998703956604004,vanilla_NN,0.3
182,adamW,HeNormal,l2,relu,0.8834999799728394,0.8778333067893982,0.8644629716873169,vanilla_NN,0.5
183,adamW,HeNormal,l2,tanh,0.8841666579246521,0.8821666836738586,0.9076851606369019,vanilla_NN,0
184,adamW,HeNormal,l2,tanh,0.8823333382606506,0.8806666731834412,0.8744629621505737,vanilla_NN,0.3
185,adamW,HeNormal,l2,tanh,0.8723333477973938,0.8713333606719971,0.851722240447998,vanilla_NN,0.5
186,adamW,HeNormal,l2,sigmoid,0.9028333425521851,0.8996666669845581,0.9570000171661377,vanilla_NN,0
187,adamW,HeNormal,l2,sigmoid,0.9011666774749756,0.8964999914169312,0.9161111116409302,vanilla_NN,0.3
188,adamW,HeNormal,l2,sigmoid,0.8983333110809326,0.8946666717529297,0.8930185437202454,vanilla_NN,0.5
189,adamW,RandomNormal,,relu,0.8971666693687439,0.8840000033378601,0.945388913154602,vanilla_NN,0
190,adamW,RandomNormal,,relu,0.8949999809265137,0.8949999809265137,0.8978703618049622,vanilla_NN,0.3
191,adamW,RandomNormal,,relu,0.8834999799728394,0.8793333172798157,0.8693888783454895,vanilla_NN,0.5
192,adamW,RandomNormal,,tanh,0.8831666707992554,0.8761666417121887,0.9055555462837219,vanilla_NN,0
193,adamW,RandomNormal,,tanh,0.8823333382606506,0.8791666626930237,0.8782963156700134,vanilla_NN,0.3
194,adamW,RandomNormal,,tanh,0.8744999766349792,0.8733333349227905,0.8514814972877502,vanilla_NN,0.5
195,adamW,RandomNormal,,sigmoid,0.8968333601951599,0.8920000195503235,0.956166684627533,vanilla_NN,0
196,adamW,RandomNormal,,sigmoid,0.9006666541099548,0.8961666822433472,0.9183148145675659,vanilla_NN,0.3
197,adamW,RandomNormal,,sigmoid,0.8945000171661377,0.8923333287239075,0.8940370082855225,vanilla_NN,0.5
198,adamW,RandomNormal,l1,relu,0.8983333110809326,0.8923333287239075,0.9457592368125916,vanilla_NN,0
199,adamW,RandomNormal,l1,relu,0.8943333625793457,0.8866666555404663,0.8990740776062012,vanilla_NN,0.3
200,adamW,RandomNormal,l1,relu,0.8826666474342346,0.8799999952316284,0.8701111078262329,vanilla_NN,0.5
201,adamW,RandomNormal,l1,tanh,0.8855000138282776,0.8744999766349792,0.904703676700592,vanilla_NN,0
202,adamW,RandomNormal,l1,tanh,0.8849999904632568,0.8849999904632568,0.8752407431602478,vanilla_NN,0.3
203,adamW,RandomNormal,l1,tanh,0.8738333582878113,0.8708333373069763,0.8516296148300171,vanilla_NN,0.5
204,adamW,RandomNormal,l1,sigmoid,0.8995000123977661,0.8934999704360962,0.9560555815696716,vanilla_NN,0
205,adamW,RandomNormal,l1,sigmoid,0.9003333449363708,0.893666684627533,0.9173518419265747,vanilla_NN,0.3
206,adamW,RandomNormal,l1,sigmoid,0.8968333601951599,0.8943333625793457,0.8937036991119385,vanilla_NN,0.5
207,adamW,RandomNormal,l2,relu,0.9001666903495789,0.8964999914169312,0.9458518624305725,vanilla_NN,0
208,adamW,RandomNormal,l2,relu,0.8963333368301392,0.8963333368301392,0.8984073996543884,vanilla_NN,0.3
209,adamW,RandomNormal,l2,relu,0.8828333616256714,0.8788333535194397,0.8685926198959351,vanilla_NN,0.5
210,adamW,RandomNormal,l2,tanh,0.8831666707992554,0.8776666522026062,0.9029814600944519,vanilla_NN,0
211,adamW,RandomNormal,l2,tanh,0.8826666474342346,0.8758333325386047,0.8738148212432861,vanilla_NN,0.3
212,adamW,RandomNormal,l2,tanh,0.8728333115577698,0.8686666488647461,0.8525000214576721,vanilla_NN,0.5
213,adamW,RandomNormal,l2,sigmoid,0.8985000252723694,0.8943333625793457,0.9573518633842468,vanilla_NN,0
214,adamW,RandomNormal,l2,sigmoid,0.9020000100135803,0.9020000100135803,0.9174444675445557,vanilla_NN,0.3
215,adamW,RandomNormal,l2,sigmoid,0.8951666951179504,0.8951666951179504,0.8923333287239075,vanilla_NN,0.5
216,adamW,GlorotNormal,,relu,0.8966666460037231,0.8949999809265137,0.9449999928474426,vanilla_NN,0
217,adamW,GlorotNormal,,relu,0.8946666717529297,0.890333354473114,0.896407425403595,vanilla_NN,0.3
218,adamW,GlorotNormal,,relu,0.8853333592414856,0.8853333592414856,0.866518497467041,vanilla_NN,0.5
219,adamW,GlorotNormal,,tanh,0.887333333492279,0.8834999799728394,0.9067037105560303,vanilla_NN,0
220,adamW,GlorotNormal,,tanh,0.8849999904632568,0.8813333511352539,0.8747037053108215,vanilla_NN,0.3
221,adamW,GlorotNormal,,tanh,0.874833345413208,0.8703333139419556,0.8497962951660156,vanilla_NN,0.5
222,adamW,GlorotNormal,,sigmoid,0.9008333086967468,0.9008333086967468,0.9547777771949768,vanilla_NN,0
223,adamW,GlorotNormal,,sigmoid,0.9023333191871643,0.9001666903495789,0.9168518781661987,vanilla_NN,0.3
224,adamW,GlorotNormal,,sigmoid,0.8945000171661377,0.8945000171661377,0.8944073915481567,vanilla_NN,0.5
225,adamW,GlorotNormal,l1,relu,0.8949999809265137,0.8923333287239075,0.9455370306968689,vanilla_NN,0
226,adamW,GlorotNormal,l1,relu,0.8951666951179504,0.8951666951179504,0.8978703618049622,vanilla_NN,0.3
227,adamW,GlorotNormal,l1,relu,0.8809999823570251,0.8761666417121887,0.8655925989151001,vanilla_NN,0.5
228,adamW,GlorotNormal,l1,tanh,0.8846666812896729,0.875333309173584,0.9064074158668518,vanilla_NN,0
229,adamW,GlorotNormal,l1,tanh,0.8830000162124634,0.8805000185966492,0.8765000104904175,vanilla_NN,0.3
230,adamW,GlorotNormal,l1,tanh,0.8725000023841858,0.8711666464805603,0.8521666526794434,vanilla_NN,0.5
231,adamW,GlorotNormal,l1,sigmoid,0.9001666903495789,0.9001666903495789,0.954962968826294,vanilla_NN,0
232,adamW,GlorotNormal,l1,sigmoid,0.9016666412353516,0.8976666927337646,0.9185555577278137,vanilla_NN,0.3
233,adamW,GlorotNormal,l1,sigmoid,0.8943333625793457,0.8914999961853027,0.8948147892951965,vanilla_NN,0.5
234,adamW,GlorotNormal,l2,relu,0.8968333601951599,0.890500009059906,0.9452592730522156,vanilla_NN,0
235,adamW,GlorotNormal,l2,relu,0.890999972820282,0.8849999904632568,0.8947222232818604,vanilla_NN,0.3
236,adamW,GlorotNormal,l2,relu,0.8843333125114441,0.8763333559036255,0.8679074048995972,vanilla_NN,0.5
237,adamW,GlorotNormal,l2,tanh,0.8851666450500488,0.8644999861717224,0.9060555696487427,vanilla_NN,0
238,adamW,GlorotNormal,l2,tanh,0.8815000057220459,0.8773333430290222,0.8753148317337036,vanilla_NN,0.3
